leagues games: 
black is 0   |   white is 1   /   Black points => 37 | White points => 27 || winner : True
black is 0   |   white is 2   /   Black points => 53 | White points => 11 || winner : True
black is 0   |   white is 3   /   Black points => 19 | White points => 45 || winner : False
black is 0   |   white is 4   /   Black points => 52 | White points => 12 || winner : True
black is 1   |   white is 0   /   Black points => 18 | White points => 46 || winner : False
black is 1   |   white is 2   /   Black points => 21 | White points => 43 || winner : False
black is 1   |   white is 3   /   Black points => 40 | White points => 24 || winner : True
black is 1   |   white is 4   /   Black points => 47 | White points => 17 || winner : True
black is 2   |   white is 0   /   Black points => 29 | White points => 35 || winner : False
black is 2   |   white is 1   /   Black points => 8 | White points => 56 || winner : False
black is 2   |   white is 3   /   Black points => 20 | White points => 44 || winner : False
black is 2   |   white is 4   /   Black points => 16 | White points => 48 || winner : False
black is 3   |   white is 0   /   Black points => 58 | White points => 6 || winner : True
black is 3   |   white is 1   /   Black points => 41 | White points => 22 || winner : True
black is 3   |   white is 2   /   Black points => 22 | White points => 42 || winner : False
black is 3   |   white is 4   /   Black points => 29 | White points => 35 || winner : False
black is 4   |   white is 0   /   Black points => 19 | White points => 45 || winner : False
black is 4   |   white is 1   /   Black points => 42 | White points => 22 || winner : True
black is 4   |   white is 2   /   Black points => 19 | White points => 0 || winner : True
black is 4   |   white is 3   /   Black points => 33 | White points => 31 || winner : True
