turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is False
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is True
turn is True  |   winner is False
turn is True  |   winner is True
