leagues games: 
black is 0   |   white is 1   /   Black points => 25 | White points => 39 || winner : False
black is 0   |   white is 2   /   Black points => 17 | White points => 0 || winner : True
black is 0   |   white is 3   /   Black points => 22 | White points => 42 || winner : False
black is 0   |   white is 4   /   Black points => 46 | White points => 18 || winner : True
black is 1   |   white is 0   /   Black points => 31 | White points => 33 || winner : False
black is 1   |   white is 2   /   Black points => 28 | White points => 36 || winner : False
black is 1   |   white is 3   /   Black points => 38 | White points => 26 || winner : True
black is 1   |   white is 4   /   Black points => 31 | White points => 33 || winner : False
black is 2   |   white is 0   /   Black points => 25 | White points => 39 || winner : False
black is 2   |   white is 1   /   Black points => 37 | White points => 27 || winner : True
black is 2   |   white is 3   /   Black points => 51 | White points => 13 || winner : True
black is 2   |   white is 4   /   Black points => 18 | White points => 46 || winner : False
black is 3   |   white is 0   /   Black points => 28 | White points => 36 || winner : False
black is 3   |   white is 1   /   Black points => 44 | White points => 19 || winner : True
black is 3   |   white is 2   /   Black points => 44 | White points => 20 || winner : True
black is 3   |   white is 4   /   Black points => 34 | White points => 30 || winner : True
black is 4   |   white is 0   /   Black points => 30 | White points => 33 || winner : False
black is 4   |   white is 1   /   Black points => 42 | White points => 22 || winner : True
black is 4   |   white is 2   /   Black points => 38 | White points => 26 || winner : True
black is 4   |   white is 3   /   Black points => 35 | White points => 29 || winner : True
