leagues games: 
black is 0   |   white is 1   /   Black points => 32 | White points => 32 || winner : NONE
black is 0   |   white is 2   /   Black points => 34 | White points => 30 || winner : True
black is 0   |   white is 3   /   Black points => 17 | White points => 47 || winner : False
black is 0   |   white is 4   /   Black points => 23 | White points => 41 || winner : False
black is 1   |   white is 0   /   Black points => 47 | White points => 17 || winner : True
black is 1   |   white is 2   /   Black points => 16 | White points => 48 || winner : False
black is 1   |   white is 3   /   Black points => 17 | White points => 47 || winner : False
black is 1   |   white is 4   /   Black points => 29 | White points => 35 || winner : False
black is 2   |   white is 0   /   Black points => 23 | White points => 40 || winner : False
black is 2   |   white is 1   /   Black points => 19 | White points => 0 || winner : True
black is 2   |   white is 3   /   Black points => 31 | White points => 33 || winner : False
black is 2   |   white is 4   /   Black points => 37 | White points => 27 || winner : True
black is 3   |   white is 0   /   Black points => 6 | White points => 58 || winner : False
black is 3   |   white is 1   /   Black points => 11 | White points => 53 || winner : False
black is 3   |   white is 2   /   Black points => 17 | White points => 46 || winner : False
black is 3   |   white is 4   /   Black points => 31 | White points => 33 || winner : False
black is 4   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 4   |   white is 1   /   Black points => 19 | White points => 45 || winner : False
black is 4   |   white is 2   /   Black points => 23 | White points => 41 || winner : False
black is 4   |   white is 3   /   Black points => 48 | White points => 16 || winner : True
